Country,Vineyards (hectares),Wine Produced (million hectolitres),Global Exports,Av. Rating
France,"789,000",49.1,29.5,82.3
Italy,"702,000",54.8,19.6,81.1
Spain,"969,000",44.4,9.4,80.2
United States,"430,000",23.9,3.9,82.6
China,"875,000",9.3,1.0,69.5
Chile,"212,000",12.9,5.3,78.6
Australia,"145,000",12.9,5.8,80.7
Argentina,"219,000",14.5,2.2,80.0
Turkey,"448,000",0.5,0.03,77.9
Germany,"103,000",9.8,3.3,80.9
Portugal,"192,000",6.1,2.5,80.2
South Africa,"125,000",9.5,2.1,80.3
Romania,"191,000",5.1,0.1,77.9
New Zealand,"39,000",3.0,3.2,80.9
Greece,"106,000",2.2,0.3,79.7
Austria,"48,000",2.8,0.6,80.0
Brazil,"82,000",3.1,0.02,78.3
Hungary,"69,000",3.6,0.3,77.8
Bulgaria,"64,000",1.0,0.1,80.3
Switzerland,"15,000",1.1,0.4,79.7
